Componente,Unidade,Exigencias,LimInf,LimSup,Algodao_Farelo_39,Amido,Arroz_Farelo,Arroz_Farelo_Deseng.,Carne_e_Ossos_Farinha_50,Citrus_Polpa,Mandioca_Integral_Raspa,"Milho_7,88",Milho_Farelo_de_Glúten_60,oleo_de_Soja,Soja_Farelo_48,Trigo_Farelo,Lisina_-_HCL,Metionina,Fosfato_BicAlcico,CalcArio_Calcitico,Sal_Comum,Excipiente
Materia_Mineral,%,0,1000000,1000000,"1,85",0,"0,71","0,82","2,43",0,0,"0,9","10,35",0,"3,4","0,73",0,0,0,0,0,0
Ca,%,"0,758",2,2,"0,89",0,"0,28","0,33","0,68",0,0,"0,21","1,19",0,"1,14","0,34",0,0,0,0,0,0
P_total,%,0,1000000,1000000,"1,89",0,"0,44","0,51","1,21",0,0,"0,34","3,74",0,"2,31","0,47",0,0,0,0,0,0
P_fit_,%,0,1000000,1000000,"2,66",0,"0,78","0,85","2,1",0,0,"0,58","6,95",0,"3,86","0,77",0,0,0,0,0,0
P_disp_,%,"0,354",2,2,"0,43",0,"0,11","0,1","10,56","1,57","0,2","0,03","0,03",0,"0,31","0,14",0,0,"24,5","37,7",0,0
P_dig_,%,0,1000000,1000000,"1,03",0,"1,67","1,89","5,28","0,2","0,09","0,25","0,47",0,"0,63","0,97",0,0,"18,5",0,0,0
Sodio,%,"0,2",2,2,"0,59",0,"1,43","1,61",0,"0,13","0,06","0,19","0,41",0,"0,39","0,64",0,0,0,0,0,0
Cloro,%,"0,18",2,2,"0,44",0,"0,24","0,28","4,75","0,07","0,03","0,06","0,06",0,"0,24","0,33",0,0,"18,5",0,0,0
Potassio,%,"0,58",2,2,"0,39",0,"0,48","0,55","3,27",0,"0,12","0,11","0,15",0,"0,28","0,48",0,0,"12,9",0,0,0
Magnesio,%,0,1000000,1000000,"0,48",0,"0,81","0,75","0,42",0,"0,09","0,09","0,06",0,"0,23","0,43",0,0,"0,91","0,23",0,0
Enxofre,%,0,1000000,1000000,"0,33",0,"0,16","0,17","0,89",0,0,"0,53","0,53",0,0,"0,21",0,0,0,0,0,0
Cobalto,mg/kg,0,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cobre,mg/kg,11,3,3,"10,5",0,"28,2","14,7","8,5",0,"4,5","2,1","19,1",0,0,15,0,0,"11,7",0,0,0
Ferro,mg/kg,55,3,3,"157,9",0,"115,4","170,1","247,7",0,"92,6","23,5","112,9",0,168,"141,9",0,0,4023,0,0,0
Ioso,mg/kg,"1,1",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manganes,mg/kg,77,5,5,"14,3",0,"194,5","170,3",20,0,"23,9","5,3","3,1",0,"31,7","102,7",0,0,"284,2",0,0,0
Selenio,mg/kg,"0,33",2,2,"0,58",0,"0,35",0,"0,37",0,"0,15","0,07","0,2",0,"0,34","0,31",0,0,0,0,0,0
Zinco,mg/kg,"71,5",5,5,"56,7",0,"49,8","47,7","80,8",0,"11,1","21,5","25,3",0,"44,8","134,5",0,0,"40,3",0,0,0
Vitamina_A,UI/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_D,UI/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_E,UI/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_K,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_B,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_B,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_Nicotinico,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_Pantotenico,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_B,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamina_B,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acido_Folico,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biotina,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colina,mg/kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantidade,kg,0,5,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
